employee_id,salary_thousands,satisfaction,industry
1,40.6,74.0,Non-profit
2,37.3,77.0,Non-profit
3,35.9,76.0,Non-profit
4,45.6,81.0,Non-profit
5,35.3,74.0,Non-profit
6,37.8,75.0,Non-profit
7,39.6,70.0,Non-profit
8,39.4,79.0,Non-profit
9,44.2,77.0,Non-profit
10,40.5,75.0,Non-profit
11,41.8,76.0,Non-profit
12,42.7,79.0,Non-profit
13,43.9,78.0,Non-profit
14,37.6,75.0,Non-profit
15,36.0,74.0,Non-profit
16,36.5,78.0,Non-profit
17,45.3,76.0,Non-profit
18,42.4,77.0,Non-profit
19,35.5,75.0,Non-profit
20,44.9,79.0,Non-profit
21,51.2,77.0,Education
22,48.7,72.0,Education
23,64.4,74.0,Education
24,63.4,76.0,Education
25,46.8,66.0,Education
26,50.4,66.0,Education
27,61.6,70.0,Education
28,55.9,69.0,Education
29,47.8,70.0,Education
30,59.6,75.0,Education
31,60.4,72.0,Education
32,47.3,67.0,Education
33,62.3,69.0,Education
34,46.3,71.0,Education
35,51.2,73.0,Education
36,57.8,70.0,Education
37,62.7,71.0,Education
38,59.3,72.0,Education
39,60.2,76.0,Education
40,54.9,72.0,Education
41,90.9,59.0,Corporate
42,74.3,56.0,Corporate
43,71.3,52.0,Corporate
44,90.3,63.0,Corporate
45,106.3,63.0,Corporate
46,100.2,59.0,Corporate
47,79.2,57.0,Corporate
48,76.4,56.0,Corporate
49,107.2,66.0,Corporate
50,104.9,67.0,Corporate
51,102.1,66.0,Corporate
52,105.8,64.0,Corporate
53,82.7,58.0,Corporate
54,87.1,58.0,Corporate
55,95.0,35.0,Corporate
56,78.9,58.0,Corporate
57,74.8,57.0,Corporate
58,82.9,58.0,Corporate
59,90.8,58.0,Corporate
60,108.9,68.0,Corporate
